L -3200, -2200, 0, 3600, -2200, 0, 50, 50, 0
L -3200, -266, 0, 3600, -266, 0, 50, 50, 0
L -3200, -2200, 0, -3200, -266, 0, 50, 50, 0
L 3600, -2200, 0, 3600, -266, 0, 50, 50, 0

L -3200, -240, 0, -1200, -240, 0, 50, 50, 0
L -3200, 7600, 0, -1200, 7600, 0, 50, 50, 0
L -3200, -240, 0, -3200, 7600, 0, 50, 50, 0
L -1200, -240, 0, -1200, 7600, 0, 50, 50, 0

L -648, 1200, 0, 3650, 1200, 0, 50, 50, 0
L -648, 5360, 0, 3650, 5360, 0, 50, 50, 0
L -648, 1200, 0, -648, 5360, 0, 50, 50, 0
L 3650, 1200, 0, 3650, 5360, 0, 50, 50, 0

L -825, 5580, 0, 3650, 5580, 0, 50, 50, 0
L -825, 7600, 0, 3650, 7600, 0, 50, 50, 0
L -825, 5580, 0, -825, 7600, 0, 50, 50, 0
L 3650, 5580, 0, 3650, 7600, 0, 50, 50, 0

P -466, 4705, 0, 0, 255, 255, 3, 0
P 2200, -1800, 0, 255, 0, 255, 3, Quillmane(18%)
P 2200, -1500, 0, 100, 200, 255, 3, an_elephant(10%)
P 2200, -1200, 0, 200, 150, 100, 3, esc_Splitp_gnol(13%)
P 2200, -900, 0, 230, 212, 0, 3, a_lion(23%)
P 2200, -600, 0, 230, 212, 0, 3, a_lioness(14%)
P 2200, -300, 0, 230, 212, 0, 3, a_mist_wolf(8%)
P 2200, 0, 0, 230, 212, 0, 3, a_shadow_wolf(3%)
P 2200, 300, 0, 150, 200, 255, 3, a_cyclops(1%)
P 2200, 600, 0, 220, 80, 30, 3, aviak_egret(3%)
P 2200, 900, 0, 220, 80, 30, 3, aviak_harrier(1%)
P 2200, 1200, 0, 255, 190, 0, 3, centaur_charger(2%)
P 2200, 1500, 0, 255, 190, 0, 3, centaur_foal(1%)
P 2200, 1800, 0, 255, 190, 0, 3, centaur_sheltie(3%)

P -375, 4016, -28, 255, 0, 255, 3, .
P -446, 5276, 0, 255, 0, 255, 3, .
P -666, 5369, -2, 255, 0, 255, 3, .
P -2411, 6333, -47, 255, 0, 255, 3, .
P -2646, 6257, -26, 255, 0, 255, 3, .
P -86, 2706, 0, 255, 0, 255, 3, .
P -2095, 5469, -2, 255, 0, 255, 3, .
P -2841, 4136, -67, 255, 0, 255, 3, .
P -992, 1655, -8, 255, 0, 255, 3, .
P -2753, 156, -36, 255, 0, 255, 3, .
P -3192, 2394, -202, 255, 0, 255, 3, .
P -2097, 3814, -84, 255, 0, 255, 3, .
P -2094, 5468, -2, 255, 0, 255, 3, .
P -2935, 5783, -67, 255, 0, 255, 3, .
P 1734, 6404, 0, 255, 0, 255, 3, .
P -2840, 4136, -67, 255, 0, 255, 3, .
P -2645, 6257, -26, 255, 0, 255, 3, .
P 1491, 6399, -1, 255, 0, 255, 3, .
P -1109, 3758, 0, 255, 0, 255, 3, .
P 1525, 4932, 0, 255, 0, 255, 3, .
P 1961, 4508, -42, 255, 0, 255, 3, .
P -54, 6010, 0, 255, 0, 255, 3, .
P 295, 6341, 0, 255, 0, 255, 3, .
P 1634, 6041, -12, 255, 0, 255, 3, .
P -2108, 6161, -51, 255, 0, 255, 3, .
P 1148, 4551, 0, 255, 0, 255, 3, .
P -144, 5686, 0, 255, 0, 255, 3, .
P -1673, 5300, 0, 255, 0, 255, 3, .
P 2028, 4673, -47, 255, 0, 255, 3, .
P 2406, 6141, 0, 255, 0, 255, 3, .
P 895, 4733, 0, 255, 0, 255, 3, .
P 812, 4765, 0, 255, 0, 255, 3, .
P -306, 3788, 0, 255, 0, 255, 3, .
P -3182, 6156, -65, 255, 0, 255, 3, .
P 929, 4118, -27, 255, 0, 255, 3, .
P -1308, 6394, -2, 255, 0, 255, 3, .
P -470, 4921, -8, 255, 0, 255, 3, .
P 564, 4522, -7, 255, 0, 255, 3, .
P 2049, 5772, -10, 255, 0, 255, 3, .
P -2378, 4602, -23, 255, 0, 255, 3, .
P -2196, 6132, -36, 255, 0, 255, 3, .
P -1855, 4655, -102, 255, 0, 255, 3, .
P -738, 4379, -1, 255, 0, 255, 3, .
P 1634, 6041, -12, 255, 0, 255, 3, .
P 593, 4862, 0, 255, 0, 255, 3, .
P 1290, 4814, -1, 255, 0, 255, 3, .
P 197, 5677, 0, 255, 0, 255, 3, .
P 211, 4727, 0, 255, 0, 255, 3, .
P 1436, 4489, 0, 255, 0, 255, 3, .
P 615, 4735, -1, 255, 0, 255, 3, .
P -667, 6095, -1, 255, 0, 255, 3, .
P 1236, 4279, 0, 255, 0, 255, 3, .
P 847, 6032, 0, 255, 0, 255, 3, .
P -2150, 4485, -33, 255, 0, 255, 3, .
P -2774, 5328, -199, 255, 0, 255, 3, .
P -2951, 4406, -29, 255, 0, 255, 3, .
P -668, 5610, 0, 255, 0, 255, 3, .
P -1441, 5940, -6, 255, 0, 255, 3, .
